no,date,username,tweet
901,Sun Mar 10 14:45:31 +0000 2019,suroso_andri,"@02Purnama @MichelAdamNew @prabowo @sandiuno maksudnya mungkin, nyetir motor sambil mainan mobil bawa hp mungkin..?… https://t.co/ryk90Exi4F"
902,Sun Mar 10 14:45:31 +0000 2019,ReniNur72671073,Ketidaktahuan ibu-ibu tentang masalah politik dimanfaatkan oleh tim Prabowo-Sandi. Mereka dibohongi dan dibodohi. S… https://t.co/yPzojZ2QRM
903,Sun Mar 10 14:45:32 +0000 2019,kaang_yu,"RT @reftyWF: Test Polling ahh
.
.
Kalian Pendukung Siapa?

01 Pendukung Pak joko wii ? (Like)
........................
02 Pendukung Pak Pra…"
904,Sun Mar 10 14:45:32 +0000 2019,Ruslanuyeah,"RT @harysantana: #RakyatPilihPrabowoDanSandi 
@Prabowo @sandiuno Cc @Gamal_Albinsaid @Dahnilanzar @fadlizon @Gerindra @PDemokrat @PKSejahte…"
905,Sun Mar 10 14:45:32 +0000 2019,nitayuamelia,@radianinton @detikcom @prabowo 02 itu balikin tanah negara ditunggu pak jokowi. jangan lupa skrg sakikan 30menitba… https://t.co/PiCUYlWWs3
906,Sun Mar 10 14:45:32 +0000 2019,PAS086,RT @Bellysetiawan92: @DoraemonLTE_PhP @shabahate @nanosu35 @Suparno08052468 @Vife70664464 @senapati_New @SusandraWardan1 @N0essChe @between…
907,Sun Mar 10 14:45:34 +0000 2019,shabahate,@DoraemonLTE_PhP @usagitsukinei @Bellysetiawan92 @nanosu35 @Suparno08052468 @Vife70664464 @senapati_New… https://t.co/c4hKfvHDSn
908,Sun Mar 10 14:45:34 +0000 2019,DuhaEnergi,"RT @KalengRngginang: @CH_chotimah @prabowo Nisa sabyan di kritik karna perduli terhadap politik,
LAH MEREKA SENDIRI DEKLARASI DUKUNG JKW-MA…"
909,Sun Mar 10 14:45:34 +0000 2019,Yovita_Gurning,RT @SRufamin: #BetawiPastiJokowi karena tidak mau pilih pemimpin yang punya lahan 5x Jakarta.. Di acara #JabarNgahiji #NggaWastingTime @jok…
910,Sun Mar 10 14:45:35 +0000 2019,PAS086,"RT @Awak_Melah: Elekta @prabowo  dan @sandiuno meningkat tajam Karena punya ""malu"" (luas) 
#RakyatPilihPrabowoDanSandi"
